歌单标题,id,昵称,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
摇滚夏日颂°｜少年心气，无畏青春,341030416,十三逆旅Cobain,介绍：总有一个夏天，会有一支乐队，至少会有一首歌，能让你躁起来吧，哪怕只是跟着鼓点晃晃头。花一般的年纪与悸动，每每想起那段情窦初开，又热血沸腾的青春岁月。那真是一个特别纯粹的年代，每个人都有着一张年轻不经任何修饰的面孔，和一颗自由火热的心。不需要去攀比什么，因为大家都一无所有；也不需要去烦恼什么，因为有着大把的青春年华可以去尽情挥霍，就像摇滚一样无畏无惧，热血沸腾。而每一个夏天都是属于摇滚乐的，那些音乐节上的难忘瞬间，那些在livehouse挥洒着热情、汗水与啤酒难忘夜晚，那些午夜穿过的大街小巷，都是我们曾经燃烧过的青春、热血和梦想，也见证了我们曾经奋力过、沸腾过、为自己努力活过。在漫长岁月里，摇滚乐依然给我们力量、启迪与陪伴。来吧，我的朋友们，不需要为学业苦苦烦恼，也不需要为职场的内卷感到无力，我觉得，活着就应该自由，无论身体上还是精神上都应该自由，别禁锢它。,260,7838871,103469,1804,231
【电子音乐】是你给我铺垫的未来,252332327,邱小白Time,介绍：这个歌单包含了现在特别流行的电子音乐风格类型,105,607478,701,35,17
民谣丨我走遍大街小巷无人如你,2118682115,月亮藏不住的小情绪,介绍：“你是我患得患失的梦 我是你可有可无的人”——解忧邵帅《写给黄淮》民谣很穷，吉他很贵，女孩很美，男孩不配，民谣有三：爱情 理想 远方，听者有三：孤独 平庸 落魄，听后有三：费烟 费酒 费心，这辈子永远都是亏欠。封面：房东的猫 主唱 王心怡,37,335477,1535,13,3
「精选」0.8x0.7x降调慢速神仙合集。,1299970802,还是挺难过的,介绍：或许他真的有过片刻心动， 又或许有那么一瞬间他真的很想牵起你的手， 可那都不妨碍他最后不选择你。所以我缝缝补补， 直到有一天我突然就不想要了 觉得破破烂烂的好像也不太体面。后来我终于明白，原来真的有人分开，也不是因为不爱了，也不是彼此有了新欢，两个人只是有点争吵，没有背叛，爱都还在，只是因为双方都不理解，而没有一直走下去。,44,868277,10490,282,26
古风‖各大类戏腔,2008041985,从不洗裤,介绍：本歌单选歌较杂，望各位听友选自己歌曲来听。另外，本歌单欢迎推歌，欢迎推歌，欢迎推歌，请私信给我，私信给我。谢谢听友,71,675547,9945,102,19
温柔男嗓哄你入睡,565918355,is慎之,介绍：你是我的半截诗不许别人改一个字,268,13101014,110330,1529,450
「古风」人间有味是清欢 未妨惆怅是清狂,129593031,mayuko然,介绍：细雨斜风作晓寒淡烟疏柳媚晴滩入淮清洛渐漫漫雪沫乳花浮午盏蓼茸蒿笋试春盘人间有味是清欢重帏深下莫愁堂卧后清宵细细长神女生涯原是梦小姑居处本无郎风波不信菱枝弱月露谁教桂叶香直道相思了无益未妨惆怅是清狂封面画师：微博ID眠狼,193,10280997,197189,2496,620
奔向月亮｜永远迎着光走 阴霾迟早会散去,450639585,四季里的懒睡猫,介绍：太阳下山夜里也有灯打开你看 这个世界不坏慢也好 步子小也好是在往前走就好你不是暗淡沙小的星光而是囊括了明月的整个银河即使身处泥沼也要仰望星空呀,45,58597,1008,25,36
【戏腔三百首】好听到耳朵怀孕的戏腔古风,290894929,执剑稳,介绍：戏子红妆看江南花开二月将军穷奇踏北国金戈铁马叹君还戏古今难渡红颜劫谁还记为君舞一曲蓝颜戏台上戏里十年梦 老去经年秋与春老腔新腔曲犹陈 醒转前尘又一声 红尘里故事人欢迎在歌单评论区留下自己喜欢的歌曲名称～,108,40818,806,1,5
治愈的风｜即使一个人， 也请好好生活,97515301,Bzstrive,介绍：每个人都会经历那么一段，一个人生活的时光，小时候觉得，一个人是一件很苦的事。长大后才发现，一个人是一件很酷的事。就算是一个人，也可以学着讨自己欢心如果不是对的那个人，你只会在两个人的生活里感受到加倍的孤独。所以，我耐心等待那个对的人出现，而在他出现之前，我想我情愿独自生活。保持天真，也保持内心的丰盈。人间美景有好多，每个人亦有自己的节奏，不强求则安乐。人生有许多无趣的时光，我只愿与自己消磨。小王子在遇到他的玫瑰花之前，也曾独自生活在B-612这颗小星星上。所以亲爱的你请不要着急属于你的总会到来在此之前即使一个人也请好好生活,89,4589492,35029,627,105
【民谣】民谣是毒也是药,54278024,零下Young,介绍：如果安静的述说可以感动世界，那么浅浅的吟唱一定会让世界沉寂；如果世界真的可以沉寂，那它一定是要让我们记得，记得那个声音，记得那一首首歌。,109,14876263,161722,2805,633
经典怀旧｜染指流年重温70年代情,1489286516,贝克克y,介绍：老歌折射着时代的变迁，承载着历史的珍藏。熟悉的歌声，再次重温，回忆满满的不止是旋律，还有听歌时的回忆。也许是年纪大了的缘故，听的歌曲越来越怀旧，一曲曲老歌反复地听着，让心情随着那记忆中的旋律起伏，静静地，在帐里沉醉，在帐里体会另一种别样的美丽，在优美的旋律中，过往的一切都变得那么亲切、难忘。,151,39352,398,1,0
rapper说情话 今晚也想跟你,345006167,决劣,介绍：评论区留喜欢文案你有一份超甜rap情话歌单请查收,405,14442767,181888,3294,1501
中文跑步歌单｜燃烧我的卡路里,93983257,--苏麻离青--,介绍：跑步歌单---华语流行——————————————01.能坚持跑步的人，至少有个好身体。02.最好的跑步状态：不是快，而是强大；对一个跑者最好的称赞：不是快，而是坚强。03.不要把跑步太当回事，也别把跑步不当回事。04.长期跑步有伤害吗?有，会伤害到你的同龄人。,99,4033,41,2,2
华语回忆杀｜经典永不过时,109390499,这条平凡的狗_QwQ,介绍：华语回忆杀…经典老歌永不过时…潮流会褪去…但经典永不过时…老歌没人听是因为大家都喜欢喜新厌旧…只有少数人喜欢怀旧…后来发现不是老歌听的有感觉…而是在歌里的我们难以释怀…,141,9634050,45699,585,123
暮色正浓｜想你时 音乐与气味都是时光机,450639585,四季里的懒睡猫,介绍：气味和旋律比任何言语描绘都要坚贞你知道普鲁斯特效应吗？每次听到或闻到某个特定时期的气味旋律时记忆就可以被一下子拉了回去我会想到当时的人和事仿佛我现在身处于过去时间也是有声音的每次听到很熟悉的音乐就会把思绪拉到很久以前的某一天尽管回不去了你也不能停下生活也还要继续,45,27256,95,4,0
乐队｜一次有预谋的初次相遇,1427891673,格林岛屿,介绍：从明天起做一个幸福的人，喂马，劈柴周游世界，从明天起，关心粮食和蔬菜，我有一所房子面朝大海，春暖花开。——海子不妨不妨，来日方长人间美好，日落和你......,69,1187493,16550,209,36
看了56次日落，只为了忘记你,201586,原创君,介绍：其实是眼里的一滴泪在夕阳里打转了55次/封面来自@噗啊噗啊,41,239839,1333,11,32
孤独的时候，听一首安静的民谣吧。,252393521,音乐想象家,介绍：世事就是这么的奇怪，努力去追寻时，它就如天上的云，永远从你手上溜走，无法捉住。想要抛开它，它又变做空气，每一次的呼吸又都可以感觉的到。,237,941190,5023,34,6
顶级试音碟 极致细腻发烧人声Hi-Fi试音,3223389037,内啡肽_Fentany丨,介绍：好听的试音∶磁、润、透、脆、净、厚、醇的境界，具有辨识度的嗓音，优质的录音，丰富悦耳的配器，精良的制作，，试听效果均为一流水平。发烧音乐通常分为人声发烧，乐器发烧。人声发烧主要突出人的声音特征，能够完美的充分表现出来，配乐的编排较为少。发烧与流行更为不同发烧要求录音声音细腻，逼真，声音改变不了需要的是一种真实的音色。由于这些发烧音乐录制的相当细致，好的设备才能听出来很遗憾可惜网易有些歌曲没有无损版本有无损及时替换。,238,6374,120,1,2
【古风】听一遍绝对不会后悔的好听古风歌单,346769611,是你的顾柒柒_cc,介绍：11月份继续更新【又藏了好多好听的歌曲想和你们分享】【11月7号歌单开始更新】这次新添加的歌曲有你们喜欢的嘛精心筛选古风女生/男生好听的音乐，若喜欢歌单里面的歌曲求收藏哦，你的收藏就是对我最大的鼓励，非常感谢。本歌单收藏好听的古风女/男音，每一首作者都有亲身试听过，质量有保证，只为给你不一样的听歌体验，歌单歌曲非常适合列表循环也适合随机播放更适合单曲循环，保证每一首都很好听，会慢慢找歌曲更新的，可能不会经常更新，望理解，有什么问题可以在评论区提出来也可以私信我，欢迎你们推荐好听的古风歌曲。这个歌单我会持续更新的。,234,2092936,27835,304,169
看向日落｜被晚霞拥抱的那天 我在想你,450639585,四季里的懒睡猫,介绍：傍晚的阳光金黄而辽远四季交替却如此温情你迟到了许多年可我依然为你的到来而高兴你看 晚霞在燃烧烧成夜空的烟火但世界上美好的事物并不太多傍晚时分洒在我眼里的晚霞和笑起来温柔到要命的你,45,116359,1762,42,58
古风精选：难忘你倾世容颜,1407747620,小攀哟,介绍：喜欢歌单的可以点个关注哟听古风音乐，就像品茶。品茶可以论茶名、闻茶香、观茶形、品茶味。听古风音乐，也可以从各个角度切入——旋律，褪去了嚣杂喧哗，宛如清朗流水；歌词，精雕细琢，就像一阙阙唐诗宋词；意境，深长悠远，让人浮想联翩。封面/微博：香菜菜末歌单创建：2018.7.26歌单修改：2019.5.20歌单完善：2019.5.27歌单制作：小攀哟勿侵、欢迎收藏，关注！,341,23152966,320652,1911,797
画面感超强♡闭上眼会有属于你的MV,201586,原创君,介绍：闭上眼听 会有属于你的MV那些回忆里的声音那些全是故事的歌词……/封面来自网络,47,299891,2155,24,7
好听到单曲循环!(神仙翻唱和原唱)在更新哦,1745211314,wzh1one,介绍：建议随机播放哦！歌单一般从第10开始更新为了避免歌单臃肿，歌单会定时清理一部分歌曲，记得查收哦进来就分享一些自己喜欢的文案吧无论你在哪里，无论在做什么，请记得当初的自己！你和云彩一样值得！|･ω･｀)Immortal Songs神仙歌曲,263,5146707,22025,283,117
『中文rap』诗人般的饶舌中文说唱艺术,341922132,肆夏无人,介绍：不定时更新添加歌曲 黑怕无止境中国纯正hiphop 中文各类风格站在金字塔顶端的法老和他的小娇妻马思唯说唱诗人jonyj与他还在努力练好语文的好厚米tt,682,8224124,89149,994,523
【戏腔古风】初见惊鸿，一眼半生愁,127056488,W-沙丁鱼罐头,介绍：初见惊鸿一眼半生愁愿君念我知我亦惜我待君归来春和景明之时可尽赏山花烂漫芳草萋萋,85,839681,9036,76,29
【华语民谣】人在路上，心在远方,1957800055,倾天奏梦,介绍：我们一直都在路上，寻寻觅觅，追逐梦想，背起行囊，奔向远方。迎着朝阳，穿过霞光，走在布满荆棘的路上，所有的不堪，那只是一个过往。再大的风浪，也不能把我们阻挡；再多的困苦，也要拼命去闯。梦想，并不奢侈，只要勇敢的迈出第一步：让心去远方，让人在路上。,64,1241588,8268,135,7
我愿是月，为你再一次圆满,201586,原创君,介绍：第一次看到宇宙是与你四目相对的时候/封面来自网络,35,197008,598,7,6
精选优质翻唱丨宝藏Cover合集,436251842,喜-歡-都-給-你,介绍：进来就留下你的故事和文案吧生活明朗，万物可爱，人间值得，万物可爱愿你平安喜乐，万事胜意好听的歌曲也可以分享给我投稿的话可加V 891999890,365,35347164,219662,2176,657
「高燃古(国)风」乱世封疆，谁与争王,289759114,千藜Mico,介绍：乱世征战，夜伴孤影，心系一人，不离不弃。相逢四月，犹度半生，蓦然回首，梦醒时分。来浅浅领略一把快意江湖吧推荐那些比较燃，气势磅礴的古风歌曲(男攻音，女攻音，男女对唱，合唱，歌单持续更新中...)封面作者 : 仙都怪谈,122,4387804,63746,381,126
我将故事写成民谣歌 献给远方的她,2118682115,月亮藏不住的小情绪,介绍：在人生的道路上，每个人都是孤独的旅客。 —— 季羡林封面：赵雷,37,43338,233,2,1
边哭边摇情感DJ大碟,549256383,总为浮云能蔽日-不见长安使人愁,介绍：故人西辞黄鹤楼 烟花三月下扬州,60,4655187,35632,390,40
若把你比作歌 • 你便是那高山流水,201586,原创君,介绍：你就是我的千山万水 人间四季/封面来自@Yuki雪雪,34,289735,1053,19,18
古风｜任他凡事清浊，为你一笑间轮回甘堕,343511029,理想星野,介绍：“ 金银富贵哪有如何，贫穷撂倒那又如何，只要你在，我便获得了那天下至宝。江山再美，若没知心人分享，那又和没有有何区别：金银富贵，买的了天下万物，却买不了甘愿陪伴穷富不弃的那颗心。”封|Pinterest（侵删）谢谢喜欢。昨日经他人联系提醒封面未授权不能用作封面，希望我能撤下封面，这是我更换封面的原因。抱歉给大家带来不便，以后的日子里，我也会在封面的选择上更谨慎，还望大家都能督促我，谢谢！,133,735670,10418,119,95
10W热评好听的华语经典,443893337,chelife,介绍：10w热评的华语音乐，好不好听这个就仁者见仁智者见智了，毕竟每个人的审美不一样，但是人气这样，绝对是标都,108,12505,124,0,0
想见你｜喜欢的人也喜欢你的几率有多少,392535778,陈笑一Joylyn,介绍：一定要爱着点什么，恰似草木对光阴的钟情。Ps:此歌单收录这些年经典的台剧歌曲(不定期更新，欢迎补充),89,661137,3404,65,26
雨会停雾会散总要跟过去说再见l温柔男声,1371974320,逃雪天,介绍：我想和你拥有一个很长很长的未来，很想和你得到所有人的祝福，很想陪你走完你的一生，彼此温暖互不辜负，,613,22525232,198572,2143,866
暖愈民谣 • 净化心灵的旋律,1489286516,贝克克y,介绍：本期给大家带来温暖，治愈的民谣，虽然小众，但却不失为宝藏歌曲的称号。,105,24451,136,4,0
天色渐凉｜行色匆匆 你是我最最惦记,450639585,四季里的懒睡猫,介绍：最近的天气渐渐变冷接下来的日子把衣服穿厚一点走路慢一点 睡觉早一点这个秋天有点冷照顾好自己平凡的一天也要热气腾腾呀,45,24761,105,1,0
浪漫摇滚｜康姆士，落日飞车，告五人，棱镜,418592306,隐匿于蓝,介绍：想要变成雨后彩虹的颜色，因为它真的很美。太多放不下，自然成负担，理想你越多，现实就骨感。所有的爱与不爱都是妄想。花一般的年纪与悸动，每每想起那段情窦初开，又热血沸腾的青春岁月。那真是一个特别纯粹的年代，每个人都有着一张年 轻不经任何修饰的面孔，和一颗自由火热的心。不需要去攀比什么，因为大家都一无所有;也不需要去烦恼什么，因为有着大把的青春年华可以去尽情挥霍，就像摇滚一样无畏无惧，热血沸腾。,266,5866776,89228,1383,763
那些歌词里的欲言又止,393227745,茶茶_写作业,介绍：你能不能稍微告诉我一点你想我了 小声点 就我们两个人听得见 我一定会去找你的 我谁也不要了 让你难过的事 我再也不做了,92,18776,542,5,57
柿柿顺利｜路上总有阴影 抬头总能看见阳光,450639585,四季里的懒睡猫,介绍：当看见的柿子树的时候说明你好运就已经开始了留下一句“柿柿顺利”祝福一下自己不仅有惊喜所有不好都随之而去事事顺利柿柿如意,45,29255,169,11,6
夜晚时分｜时间从来不语 却回答了所有问题,450639585,四季里的懒睡猫,介绍：白日的时光静寂缓慢我们注视着前方努力使之偏向就像春日的万物复苏夏日的红攻瑰逐日盛开秋日的枯叶落下冬日的雪花点飘落时间静寂流逝却回答了所有问题,45,160749,2276,61,80
冬日治愈｜搓搓手又要一个人过冬天啦,97515301,Bzstrive,介绍：好好生活吧，怀念不一定要见面别担心，每个人都有各自的辛苦，但大家都是在用尽全力生活着。也许现在没那么顺利，但我们再加把劲，我会一直在这里陪你从暗夜到天光不被任何人消耗内心的晴朗，生活应该是被热爱的人和事填满,46,4522,25,0,0
别急甜甜的恋爱马上就轮到你了,610336824,芳心收集人士,介绍：你相信吗未来要和你共度一生的那个人其实在与你相同的时间里 也忍受着同样的孤独那个人一定也怀着满心的期待马不停蹄地赶来和你碰面,166,665323,5429,251,95
后来，我把遇到你的瞬间回忆了千万遍,1657348839,早睡早起丫-,介绍：封心了，如果是她当我没说。我宁愿和你重蹈覆辙一万次，也不愿看见你对别人心动一次。在这个路遥马急的年代没有新欢就是对你最好的暗示。你注定不能错过我。,68,8673,67,0,2
深秋的秘密｜冬季的思念,445913531,所念節星河,介绍：其实真正的送别没有长亭古道 没有劝君更尽一杯酒就是在一个和平时的一个清晨 有的人留在了昨天,51,3232,28,6,1
夜色渐晚｜就算步伐很小 也要步步前进,450639585,四季里的懒睡猫,介绍：被人理解真的是一件很奇妙的事就像你蜷缩在黑暗的角落里有人提着灯问我可以坐你旁边吗别难过总会有人提着灯在昏暗的角落找到你陪在你身旁,45,107392,2607,63,113
五十首走心民谣，致我们终将逝去的青春,68014748,薛定谔的缝纫机,介绍：当日青春伫少年，时光红尘化炊烟。明镜白发生古稀，月色银辉笑坦言。在心把酒一豪放，曾经流水满苍天。照亮人性醉紫霞，彩虹缤纷映红颜。云聚云散叹沧桑，归去归远思暖寒。,63,7682118,51934,691,329
『忏悔录』emo走心励志旋律情歌中文说唱,610336824,芳心收集人士,介绍：歌单收录了各种风格的中文说唱 好歌又不是感冒灵 不一定要999+ 带你发掘那些国产rapper的宝藏歌曲喜欢歌单的可以收藏关注不迷路 好听到可以单曲循环 歌单持续更新中～,117,757655,7619,159,26
励志歌单｜心有暖阳 向阳而生 逐光而行,2118682115,月亮藏不住的小情绪,介绍：我知道这世界上没有最好，只有更好。我想要的一切，都要靠自己的努力得到。我生来平庸，却也生来骄傲。每一种热爱，都值得全力以赴！奋斗没有终点，任何时候都是起点。累的熬不住的时候，告诉自己，再坚持一下！加油！,30,3404,55,1,0
「中文降调」听慢歌·想不远不近的人,1353232010,嘿-Tedua,介绍：本歌单为降调歌单歌都可以0.8倍速的播放 为什么你不肯等等慢热的我歌曲顺序可能会随时更新 同时也希望广大朋友投稿,41,26609,378,11,0
【 人声测试 】柔甜细腻 胆声胆色 清澈通透,57986708,马文威,介绍：在煲机中重要的是有纯音源佳质的音乐!而胆机音响所发出的声音最具备独特的“胆味!温暖耐听:音乐感、音乐氛围非常美! 当你邂逅到温润耐听的煲机音乐时，你定会喜欣悦色!一个音乐感好氛围好的音乐，除了耳觉器材的真实性!更重要你在同一首音乐歌曲的各个版本中所选听的音源!如果声音细腻温暖耐听给你美的润色!那么无疑就是你最心满意足的心中音乐歌曲了!本单列选出: 人声亮丽贴耳、声音干净通透的歌曲！暖色的润嗓声音舒耳自然耐听！音色饱满醇厚细腻香甜！,609,1013811,14065,155,55
【戏腔专题】伶人入画，一生天涯,67853143,辞雀,介绍：台上戏里十年梦 老去经年秋与春老调新腔曲犹陈 醒转前尘又一声 红尘里故事人（歌单已于2019.04.07更新）,196,33402474,814089,7585,2315
“干嘛听苦情歌 以为多浪漫”,392078662,张以晨_,介绍：早点睡 没人懂你凌晨两三点的心事.从那天起我们的爱到此为止希望听我歌单的人今后永远快乐（持续更新）,198,1857543,7809,99,67
『国风』我醉酒看南山，踏破世间天地寒,1777703285,焦耳-定律,介绍：如鲸向海，似鸟投林，不可避免，退无可退。你已经是个成熟的歌单了，要学会自己吸引歌友们不介意的话，去我主页看看我的其他歌单吧球球了,418,3526163,44265,250,145
『李健』原唱歌单.贝加尔湖畔.我是歌手,287163860,海峡好歌单,介绍：披星戴月地奔波，只为一扇窗，当你迷失在路上，能够看见那灯光，不知不觉把他乡，当做了故乡，只是偶尔难过时，不经意遥望远方，曾经的乡音，悄悄地隐藏，说不出的诺言，一直放心上。,58,3156056,30986,233,177
旋律说唱｜好听不腻的hook ,392078662,张以晨_,介绍：我想与你分享日常琐事今天天气很好天空也很蓝也想悄悄告诉你很多你不知道的秘密喜欢听说唱的你欢乐就会加倍你一定不能错过这些好听不腻的旋律说唱 ！,91,1575405,11584,133,26
歌声唱响新时代主旋律,1,网易云音乐,介绍：微风拂过故宫墙外的树梢五星红旗在白云堆叠的天空上鲜艳明亮汹涌的江水由唐古拉山脉流淌珠穆朗玛峰破开日暮的流光青年给边疆点上绿装牡丹拥着璀琛的徽章时隔千百年的炮响换来了万家灯火的笑先生我代您看这人间安好，山河无恙“岁月带不走你的光芒，你永远是我的太阳。”我爱我的祖国，就像星河与焰火哦，互相包裹，永不失落！,45,1411479,11209,386,548
【 HiFi发烧和声】测试多重唱二重唱三重唱,57986708,马文威,介绍：音乐中的合唱:分为齐唱(单声部)、混声合唱(男女二声部合唱，男女多声部合唱)、同声合唱(男声二声部，多声部合唱，女声二部和多声部合唱。)合唱就是属于唱歌(声乐)的范围!和声是由两个以上不同音按照一定的法则同时发声而构成的音响组合效应。和声与合唱是有密切联系的!合唱的声部是根据合声法则而出现的!,308,259571,3948,65,15
民谣小酒馆｜路过此间仍是少年,1731886585,0000FF少抽烟,介绍：有的人说民谣很沧桑，有很多的故事，许多的经历，很容易听的落泪，其实使你落泪的并不是这些，是因为有着与我们相似的故事，身临其境的感受自己爱情错题本，经历了许多。慢慢坚强起来。喜欢记得收藏哦～（持续更新）,56,624744,3546,44,7
[浴室歌王] 花洒就是我的麦克风，每天30首任你点唱,1463586082,云音乐官方歌单,介绍：拿上换洗的衣服走进浴室，打开音乐，用一场只有自己的演唱会来卸下一整天的疲惫~,30,955830,5891,32,15
甜饼说唱｜超甜的情话只对你说,1731886585,0000FF少抽烟,介绍：甜蜜说唱又来啦，治愈疲惫上班心灵的只有甜甜的歌曲和甜甜的恋爱。歌单精选了节奏感强但是曲风柔和的甜系说唱歌 曲，快来收藏这份甜蜜吧！,76,642232,3739,46,30
遥古国风吹『悠悠岁月』,333130959,澄子的妄,介绍：小学毕业的暑假，一个朋友推荐我听古风歌，随便一搜看到了《上邪》，最惊艳我的是歌词，然后就入坑了。虽然这么多年过去了，也听了不少歌，但《上邪》永远是我心里古风歌第一。,184,189981,2902,31,5
日落时分｜你是自己的宇宙 不开心请摇摇头,450639585,四季里的懒睡猫,介绍：日子渺小重复日日落俗 日日开心喜燥无常 懒且随意所有的努力都在慢慢变得清晰我们不应该看到别人发光就觉得自己暗淡无光你可以是一朵玫瑰也可以是生生不息的宇宙世事千帆过前方终会是温柔和月光,45,98404,2115,50,91
夜晚时分｜望着同一个月亮 就当我们见面了,450639585,四季里的懒睡猫,介绍：我是银河里的流浪家你是月球里的常驻民我环游整个宇宙只为找寻你的踪迹生活有时会出现一个大洞我们可以只看甜的部分十里清风 万顷星河你和他们一样都是小宝藏慢慢理解世界慢慢更新自己一路人生 要去开心要去期待 要去热爱,45,86909,1730,35,60
[听·张杰] 秋天的童话从这里开始,1463586082,云音乐官方歌单,介绍：出道十八年，张杰的歌声已然成为华语乐坛不可或缺的一部分。无论是《看呐看》的小幸福还是《敬吾辈》的大爱，他的音乐总是能准确表达。在这片星空下一起聆听张杰的歌，感受从成长到成熟的故事。,50,902834,4142,27,28
[华语节奏布鲁斯] 情绪辗转反侧 雾气消散不开,1463586082,云音乐官方歌单,介绍：华语R&B除了音乐本身的节奏与律动，还有着极具艺术特色的歌词，在主题表达上以爱情为主，注重情感的反复宣泄与加强，配乐方面也有着本土的特色和表达，如有的歌曲结合了古筝，二胡，琵琶等中国乐器。华语节奏布鲁斯代表艺人：陶喆，方大同，周杰伦，王力宏等。,140,15684949,55803,461,149
[听·杨丞琳] Rainie的声音，一滴滴清晰,1463586082,云音乐官方歌单,介绍：都说演优则唱唱优则演，而杨丞琳是可以将唱和演都完美兼顾的艺人。不同于影视剧中她常饰演的成长性邻家小妹的角色，杨丞琳在歌中更是敢爱敢恨的大女子。能够带来青春回忆，全场大合唱的《雨爱》《带我走》《匿名的好友》，也有近两年的hit 单曲《青春住了谁》《年轮说》《仰望》。无论是在流行性还是音乐性上都有出色的表现，杨丞琳绝对是一个出乎人们意料的全能艺人。,50,344780,1000,9,9
[一周影视热歌] 邓紫棋献唱《三体》动画片尾主题曲,1463586082,云音乐官方歌单,介绍：时下热门影视剧OST每周更新，订阅一键收藏！,30,24785120,70579,1204,566
[说唱接力赛] Beat唱Flow合，场子加热有Cypher,1463586082,云音乐官方歌单,介绍：说唱文化中的Cypher是指不同的rapper使用同一个Beat依次进行演唱的一种说唱形式，Beat就像一面等待被填满的涂鸦墙，任由rapper们用Flow和歌词绘出自己的个性色彩。,64,249020,946,10,9
[CN Drill] 中文钻头节奏，听就完了,1463586082,云音乐官方歌单,介绍：来自街头的Drill音乐飘洋过海与中文说唱进行交汇融合，在中文的大地上生根发芽。经过本土rapper的吸收消化，打造出属于中国的drill音乐。,67,188267,770,9,9
[写词高手] 中文说唱里的神来之笔,1463586082,云音乐官方歌单,介绍：用Wordplay蕴藏深义，用灵感写出Punchline，中文说唱存在的意义在于把所见所听化为所想所做，用坚定有力的歌词，表达我们的态度，让更多人感受到中文说唱的力量。,70,934208,4064,38,28
